年份,甲,名,姓名,省,府,州县,坐标,longitude,latitude
1787,3,50,周维坛,广西,桂林府,临桂县,"110.290511,25.273824",110.290511,25.273824
1789,3,29,张鹏展,广西,思恩府,上林县,"108.604921,23.431936",108.604921,23.431936
1789,3,29,张鹏展,广西,思恩府,上林县,"107.338700,23.485000",107.3387,23.485
1790,3,24,熊兆璜,广西,桂林府,兴安县,"110.671661,25.611589",110.671661,25.611589
1793,3,46,朱桓,广西,桂林府,临桂县,"110.290521,25.273834",110.290521,25.273834
1795,3,33,唐维锡,广西,桂林府,临桂县,"110.290531,25.273844",110.290531,25.273844
1795,3,71,赵宜本,广西,桂林府,临桂县,"110.290541,25.273854",110.290541,25.273854
1796,3,27,周宏纲,广西,桂林府,临桂县,"110.290551,25.273864",110.290551,25.273864
1796,3,34,蒋作梅,广西,桂林府,灌阳县,"111.160771,25.489382",111.160771,25.489382
1799,3,21,张傅霖,广西,桂林府,临桂县,"110.290561,25.273874",110.290561,25.273874
1799,3,47,周玺,广西,桂林府,临桂县,"110.290571,25.273884",110.290571,25.273884
1799,3,105,马德表,广西,桂林府,全州,"111.073148,25.928927",111.073148,25.928927
1801,3,34,胡长庆,广西,桂林府,临桂县,"110.290581,25.273894",110.290581,25.273894
1801,3,57,莫宗华,广西,桂林府,临桂县,"110.290591,25.273904",110.290591,25.273904
1801,3,81,陆禹贡,广西,南宁府,隆安县,"107.696125,23.165862",107.696125,23.165862
1801,3,83,马建三,广西,太平府,永康州,"107.803710,22.809210",107.80371,22.80921
1801,3,89,许双羽,广西,桂林府,临桂县,"110.290601,25.273914",110.290601,25.273914
1801,3,99,朱奕森,广西,桂林府,临桂县,"110.290611,25.273924",110.290611,25.273924
1801,3,108,钟泰岳,广西,柳州府,融县,"109.256270,25.065973",109.25627,25.065973
1801,3,114,阙邦觐,广西,郁林州,北流县,"110.354370,22.708266",110.35437,22.708266
1802,2,53,卿祖培,广西,桂林府,灌阳县,"111.160781,25.489392",111.160781,25.489392
1802,3,65,李嘉佑,广西,桂林府,临桂县,"110.290621,25.273934",110.290621,25.273934
1802,3,91,易凤庭,广西,桂林府,灵川县,"110.390099,25.466171",110.390099,25.466171
1802,3,121,袁珏,广西,浔州府,平南县,"110.392149,23.539137",110.392149,23.539137
1802,3,139,胡朝瑺,广西,浔州府,平南县,"110.392159,23.539147",110.392159,23.539147
1805,2,38,何彤然,广西,平乐府,平乐县,"110.643395,24.633452",110.643395,24.633452
1805,3,35,秦基,广西,桂林府,灵川县,"110.390109,25.466181",110.390109,25.466181
1805,3,74,覃学海,广西,柳州府,象州,"109.683898,23.958524",109.683898,23.958524
1805,3,101,范澍,广西,太平府,龙州,"106.854376,22.342771",106.854376,22.342771
1805,3,113,陈兰策,广西,桂林府,临桂县,"110.290631,25.273944",110.290631,25.273944
1808,2,1,朱棨,广西,桂林府,临桂县,"110.290641,25.273954",110.290641,25.273954
1808,2,3,萧应荃,广西,桂林府,临桂县,"110.290651,25.273964",110.290651,25.273964
1808,2,68,廖爵,广西,桂林府,临桂县,"110.290661,25.273974",110.290661,25.273974
1808,3,5,周贻组,广西,桂林府,临桂县,"110.290671,25.273984",110.290671,25.273984
1808,3,63,刘书文,广西,柳州府,象州,"109.683908,23.958534",109.683908,23.958534
1808,3,90,蒋承洙,广西,桂林府,全州,"111.073158,25.928937",111.073158,25.928937
1809,3,23,秦伯度,广西,桂林府,临桂县,"110.290681,25.273994",110.290681,25.273994
1809,3,50,扬立冠,广西,柳州府,马平县,"109.410775,24.315448",109.410775,24.315448
1809,3,64,卓僩,广西,梧州府,藤县,"110.914623,23.374503",110.914623,23.374503
1809,3,110,栗作贡,广西,桂林府,临桂县,"110.290691,25.274004",110.290691,25.274004
1809,3,119,葛东昌,广西,南宁府,宣化县,"108.365671,22.817681",108.365671,22.817681
1809,3,134,余明道,广西,南宁府,永淳县,"108.924474,22.797985",108.924474,22.797985
1811,2,60,陈逢年,广西,南宁府,宣化县,"108.365681,22.817691",108.365681,22.817691
1811,3,7,顾涛,广西,桂林府,临桂县,"110.290701,25.274014",110.290701,25.274014
1811,3,44,吕璜,广西,桂林府,永福县,"109.983136,24.979754",109.983136,24.979754
1811,3,70,蒋启廷,广西,桂林府,全州,"111.073168,25.928947",111.073168,25.928947
1811,3,92,朱应诏,广西,桂林府,临桂县,"110.290711,25.274024",110.290711,25.274024
1811,3,107,王宗焘,广西,桂林府,临桂县,"110.290721,25.274034",110.290721,25.274034
1814,2,13,阳宗城,广西,桂林府,临桂县,"110.290731,25.274044",110.290731,25.274044
1814,2,92,朱绍恩,广西,桂林府,临桂县,"110.290741,25.274054",110.290741,25.274054
1814,3,14,黄暄,广西,桂林府,临桂县,"110.290751,25.274064",110.290751,25.274064
1814,3,100,唐正仁,广西,桂林府,临桂县,"110.290761,25.274074",110.290761,25.274074
